grant_title,id,organization,total_amount,group,start_year,pays,pays1,real,presse,pressesimp,spect,spectsimp
Les Aventures de Tintin: Le secret de la Licorne,4,Aventure - Action,5309485,5,3A,Amerique du Nord,Etats-Unis,Steven Spielberg,"3,5",3,"3,6",3
Le Cochon de Gaza,141,Comédie,287323,5,1A,France,France,Sylvain Estibal,"3,5",3,"3,6",3
Toutes nos envies,127,Drame,354752,5,2A,France,France,Philippe Lioret,"3,6",3,"3,6",3
Blue Valentine,214,Drame,120308,5,2A,Amerique du Nord,Etats-Unis,Derek Cianfrance,"3,6",3,"3,6",3
We Want Sex Equality,164,Drame,231764,5,2A,Europe,Grande-Bretagne,Nigel Cole,"3,7",3,"3,6",3
Hugo Cabret,40,Comédie familiale,1285647,5,1A,Amerique du Nord,Etats-Unis,Martin Scorsese,"4,1",4,"3,6",3
Les Neiges du Kilimandjaro,81,Drame,694158,5,2A,France,France,Robert Guédiguian,"4,1",4,"3,6",3
Minuit à Paris,27,Romance,1739215,5,1A,Amerique du Nord,Etats-Unis,Woody Allen,"4,2",4,"3,6",3
Tomboy,144,Drame,281330,5,2A,France,France,Céline Sciamma,"4,2",4,"3,6",3
Oceanosaures 3D: Voyage au Temps des Dinosaures,146,Documentaire,269788,5,6A,France,France,"Pascal Vuong, Ronan Chapalain",_,_,"3,6",3
The Lady,111,Drame,495943,5,2A,France,France,Luc Besson,"2,4",2,"3,7",3
Twilight - Chapitre 4: révélation,7,Fantasy,3638210,5,5A,Amerique du Nord,Etats-Unis,Bill Condon,"2,5",2,"3,7",3
Tu seras mon fils,78,Drame,722122,5,2A,France,France,Gilles Legrand,"2,8",2,"3,7",3
De l'eau pour les éléphants,87,Drame,661891,5,2A,Amerique du Nord,Etats-Unis,Francis Lawrence,"2,8",2,"3,7",3
Un jour,150,Romance,259965,5,1A,Amerique du Nord,Etats-Unis,Lone Scherfig,3,3,"3,7",3
Omar m'a tuer,95,Thriller,572768,5,3A,France,France,Roschdy Zem,"3,3",3,"3,7",3
Rio,21,Animation 3D,2376481,5,4A,Amerique du Nord,Etats-Unis,Carlos Saldanha,"3,4",3,"3,7",3
